Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Incorrecta4,Incorrecta5
¿Qué estudia la anatomía topográfica?,Las estructuras del cuerpo en relación con su situación en regiones y cavidades,Las funciones fisiológicas de los órganos,Los procesos bioquímicos celulares,La genética de los tejidos,,
¿Qué describe la holotopía?,La posición de un órgano en el cuerpo,La forma externa del cuerpo,La relación de un órgano con otros órganos,La distribución nerviosa de un órgano,,
¿Qué relación define la esqueletotopía?,La posición de un órgano respecto al esqueleto,La posición de un órgano respecto a mésculos,La posición del esqueleto respecto al cráneo,La forma visible de los huesos,,
¿Qué es la sintopía?,Posición de un órgano respecto a órganos vecinos no pertenecientes al esqueleto,Posición de órganos en cavidades torácicas,Localización de nervios periféricos,Estudio de la irrigación sanguínea,,
¿Qué estudia la idiotopía?,La posición de las diferentes partes de un mismo órgano,La función hormonal de un órgano,La estructura histológica interna,La distribución linfática,,
¿Qué es la anatomía aplicada?,"Rama de la anatomía con proyección clínica (diagnóstico, cirugía, terapéutica)",Anatomía orientada a la zoología,Estudio de tejidos para microscopía,Rama dedicada al desarrollo embriológico,,
¿Qué estudia la anatomía de superficie?,Forma y características del cuerpo visibles o palpables,Relaciones entre vísceras internas,Composición química del tejido muscular,Dinámica articular durante el movimiento,,
¿Qué NO se considera base de la anatomía de superficie?,Estructuras vasculares profundas,Puntos óseos visibles y palpables,Surcos musculares,Bolsas mucosas cutáneas,,
¿Qué estudia la estratigrafía en anatomía?,Las capas del cuerpo desde la superficie a profundidad,El origen embriológico de los órganos,La densidad ósea,Las articulaciones sinoviales,,
¿A través de qué plano se delimita la cabeza del tronco?,Plano transversal,Plano sagital,Plano horizontal,Plano frontal,,
¿En qué dos partes se divide la cabeza?,Cráneo y rostro,Rostro y cuello,Cráneo y mandíbula,Cráneo y tórax,,
¿Cuál es el plano más externo de la cara?,Cutáneo,Subcutáneo,Fascia profunda,Muscular interno,,
¿Cuál es el segundo plano anatómico general de la cara?,Subcutáneo,Cutáneo,Fascia profunda,Muscular estriado,,
¿Cuál es la fascia asociada al mésculo cutáneo de la cara?,Fascia superficial del mésculo cutáneo,Fascia profunda del temporal,Fascia del masetero,Fascia epicraneal,,
¿Cuál es el límite lateral de la región nasal?,Una línea desde el ángulo medial del ojo hasta la comisura dorsolateral del orificio nasal,Una línea desde el ángulo caudal del ojo al oído,Una línea desde la mandíbula a la base del cráneo,Una línea desde la base del cráneo al orificio auditivo externo,,
¿Qué estructura limita caudalmente al dorso de la nariz?,La región frontal,La región mandibular,La región bucal,La región parietal,,
¿Qué región limita posteriormente a la región nasal lateral?,Región infraorbitaria,Región parotídea,Región craneal,Región faríngea,,
¿Cuál de los siguientes planos anatómicos de la nariz es más superficial?,Cutáneo,Mucosa nasal,Armazón cartilaginoso,Musculatura nasal,,
¿Qué función tienen los mésculos nasales?,Regular la abertura del orificio nasal,Cerrar la glotis,Regular el movimiento del paladar,Aumentar el flujo sanguíneo nasal,,
¿Qué estructura interna forma el armazón nasal?,Cartílago hialino,Cartílago elástico,Hueso esponjoso,Ligamento fibroso,,
¿Qué tipo de mucosa se encuentra en la región nasal?,Mucosa nasal y olfatoria,Mucosa gástrica,Mucosa bronquial,Mucosa conjuntival,,
¿Qué procedimiento se usa coménmente para observar la región nasal internamente?,Endoscopía,Radiografía torácica,Tomografía craneal,Ultrasonido hepático,,
¿Qué aplicación clínica permite administrar oxígeno por la nariz?,Uso de puntas nasales o inhaladores,Intubación endotraqueal,Sonda orogástrica,Sonda intravenosa,,
¿Qué intervención quirérgica se realiza en caso de estenosis nasal?,Biopsia o corrección quirérgica,Hemilaminectomía,Artroscopia nasal,Tonsilectomía,,
¿Cuál es un procedimiento clínico comén en la región nasal?,Sondeo nasogástrico,Biopsia hepática,Toracocentesis,Lavado articular,,
¿Qué tipo de plano anatómico nasal permite el paso de fármacos intranasales?,Mucosa nasal,Plano muscular profundo,Cartílago alar,Epitelio bucal,,
¿Qué tipo de muestra puede obtenerse de la región nasal?,Citología,Electroencefalograma,Electromiograma,Endoscopia intestinal,,
¿Qué aparato permite explorar visualmente las fosas nasales?,Endoscopio,Otoscopio,Laringoscopio,Dermatoscopio,,
¿Qué plano nasal es responsable de la percepción del olfato?,Mucosa olfatoria,Cartílago nasal,Epitelio cutáneo,Musculatura externa,,
¿Cuál es un uso clínico de la región nasal en perros?,Aplicación de vacunas intranasales,Extracción de dientes,Cateterismo uretral,Ecografía abdominal,,
¿Qué procedimiento permite ventilar a un perro con dificultad respiratoria usando la nariz?,Oxígeno por puntas nasales,Oxígeno rectal,Nebulización gástrica,Compresión torácica,,
¿Qué función NO cumple la mucosa nasal?,Digestión de proteínas,Filtración del aire,Hidratación del aire inhalado,Percepción de olores,,
¿Qué estructura nasal es étil para insertar una sonda de alimentación?,Fosa nasal,Cornete nasal inferior,Epiglotis,Laringe,,
¿Qué especialidad médica realiza frecuentemente trepanación de fosas nasales?,Cirugía,Neurología,Oftalmología,Cardiología,,
¿Qué región incluye la región de la boca y el mentón?,"Labio superior, labio inferior y mentón","Nariz, mentón y cuello","Mejillas, orejas y mentón","Paladar, lengua y mandíbula",,
¿Qué tipo de epitelio se encuentra en el plano cutáneo de la boca?,Epitelio estratificado plano queratinizado,Epitelio columnar simple,Epitelio cilíndrico pseudoestratificado,Epitelio cébico simple,,
