Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
¿Cuál es el límite craneal del abdomen?,Diafragma,Pelvis,Línea alba,Costillas flotantes
¿Cuál es la región del abdomen que se encuentra entre el cartílago xifoides y la última costilla?,Hipocondrio,Región púbica,Flanco,Iliaca
¿Qué músculo forma parte del plano superficial del abdomen?,M. oblicuo abdominal externo,M. transverso del abdomen,Peritoneo parietal,Vaina de los rectos
¿Qué arterias irrigan el abdomen medio?,A. circunfleja iliaca profunda,A. mesentérica craneal,A. pulmonar,A. femoral superficial
¿Qué nervio inerva la región abdominal media?,N. iliohipogástrico,N. radial,N. obturador,N. facial
¿Qué estructura anatómica está presente en todos los planos del abdomen?,Peritoneo parietal,Glándula mamaria,Fascia transversa,M. serrato dorsal caudal
¿Qué procedimiento se realiza comúnmente en la región umbilical?,Laparotomías,Herniorrafia,Castración,Gastrotomía
¿Qué músculo forma la vaina de los rectos?,M. oblicuo abdominal interno,M. glúteo medio,M. sartorio,M. iliaco
¿Qué arteria irriga la región púbica del abdomen?,A. epigástrica caudal,A. renal,A. hepática,A. torácica interna
¿Qué procedimiento se relaciona con la región inguinal?,Castración,Esplenectomía,Biopsia hepática,Punción esternal
