Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
¿Cuál es la fórmula general de los carbohidratos?,Cn(H2O)n,Cn(H2)nO,CH3(CH2)nCOOH,C6H6
"¿Cuál es la proporción entre Carbono, Hidrógeno y Oxígeno en los carbohidratos?",01:02:01,02:01:01,01:01:02,03:02:01
¿Qué elementos forman a los carbohidratos?,"Carbono, hidrógeno y oxígeno","Carbono, oxígeno y nitrógeno","Carbono, azufre y oxígeno","Carbono, nitrógeno y fósforo"
¿Qué función principal tienen los carbohidratos?,Fuente principal de energía,Reserva de proteínas,Formación de ácidos nucleicos,Síntesis de lípidos
¿Qué proceso utilizan los organismos autótrofos para sintetizar carbohidratos?,Fotosíntesis,Respiración celular,Fermentación,Glucólisis
¿Qué tipo de carbohidrato provee energía a largo plazo?,Glucógeno,Glucosa,Celulosa,Quitina
¿Qué tipo de carbohidrato provee energía inmediata?,Glucosa,Glucógeno,Celulosa,Amilosa
¿Qué carbohidrato estructural es exclusivo de los insectos?,Quitina,Glucógeno,Celulosa,Fructosa
¿Cuál es la función de la celulosa en las plantas?,Estructura,Energía inmediata,Energía a largo plazo,Síntesis de proteínas
¿Cuál es el carbohidrato que se encuentra en las plantas como reserva energética?,Almidón,Glucógeno,Celulosa,Quitina
¿Cuáles son las dos fracciones del almidón?,Amilosa y amilopectina,Celulosa y quitina,Glucosa y glucógeno,Galactosa y fructosa
¿Cómo se clasifica el almidón en las plantas?,Energía de almacenamiento,Carbohidrato estructural,Energía inmediata,Base nitrogenada
¿Qué tipo de carbohidrato se encuentra en los insectos como estructura?,Quitina,Celulosa,Glucógeno,Fructosa
¿Qué tipo de carbohidrato estructural está presente en las paredes celulares vegetales?,Celulosa,Glucógeno,Quitina,Amilosa
¿Qué tipo de moléculas son los carbohidratos?,Biomoléculas,Ácidos nucleicos,Proteínas,Lípidos
¿Cuál es una característica común de todos los carbohidratos?,"Contienen carbono, hidrógeno y oxígeno","Contienen nitrógeno, carbono y fósforo",Están formados por proteínas,Contienen azufre y fósforo
¿Qué tipo de enlace une los monosacáridos en un disacárido?,Enlace glucosídico,Enlace peptídico,Enlace fosfodiéster,Enlace iónico
¿Qué molécula se libera en la formación del enlace O-glucosídico?,Agua (H2O),Dióxido de carbono,Oxígeno,Nitrógeno
¿Qué representa el subíndice 'n' en la fórmula Cn(H2O)n?,Número de carbonos,Número de átomos de oxígeno,Número de moléculas de agua,Número de enlaces
¿Cuál es la fuente original de carbono para la síntesis de carbohidratos?,Dióxido de carbono (CO2),Oxígeno (O2),Nitrógeno (N2),Sulfato (SO4)
¿Cuál es la vía catabólica de carbohidratos donde toda la glucosa que entra a la célula se destruye para producir energía?,Glucólisis,Gluconeogénesis,Glucogenogénesis,Ciclo de Krebs
¿Qué se produce en condiciones anaerobias a partir de glucosa en la glucólisis?,Ácido láctico,Acetil-CoA,NADH,ATP
¿Cuál es la molécula principal del Ciclo de Krebs?,Acetil-CoA,Glucosa,Piruvato,Lactato
¿Dónde ocurren las reacciones del ciclo de Krebs?,Matriz mitocondrial,Citoplasma,Núcleo,Retículo endoplasmático
¿Qué se produce en la cadena transportadora de electrones?,ATP,Glucógeno,Lactato,Galactosa
¿Cuál es una de las funciones principales del NADPH generado en la vía de las pentosas?,Regenerar glutatión,Activar amilasa,Formar ATP,Formar ácido láctico
¿Dónde se produce la digestión mecánica de los carbohidratos?,Boca,Estómago,Hígado,Duodeno
¿Qué enzima está presente en la saliva y rompe enlaces de almidón?,Amilasa,Pepsina,Lipasa,Lactasa
