Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
¿Qué tipo de enlace se forma entre un grupo carboxilo y un grupo hidroxilo?,Enlace éster,Enlace peptídico,Enlace iónico,Enlace glucosídico
¿Qué se produce como resultado de la saponificación?,Jabón y glicerina,Monoglicéridos y agua,Sales biliares y colesterol,Ácidos grasos y aminoácidos
¿Qué función tiene la bilis en la digestión de lípidos?,Emulsificar las grasas,Hidrólisis de proteínas,Formación de triglicéridos,Producción de lipasas
¿Cuál es la enzima secretada en la boca que inicia la digestión de triglicéridos?,Lipasa lingual,Amilasa salival,Lipasa pancreática,Pepsina
¿Dónde se absorben los productos finales de la digestión de lípidos?,Yeyuno,Estómago,Colon,Boca
¿Qué estructura permite que los lípidos se transporten por el sistema linfático?,Quilomicrones,Lipasa gástrica,Sales biliares,Colesterol
¿Qué estimula la producción de bilis y lipasa pancreática en el duodeno?,Colecistoquinina,Insulina,Pepsina,Enterocinasa
¿Cuál es la función de la colipasa?,Activar a la lipasa pancreática,Formar micelas,Emulsificar grasas,Producir colesterol
¿Qué tipo de lípidos no pueden hidrolizarse y no tienen ácidos grasos?,Insaponificables,Saponificables,Ácidos grasos libres,Triglicéridos
¿Qué proceso permite el paso de lípidos a través de las membranas celulares?,Difusión pasiva,Pinocitosis,Fagocitosis,Transcitosis
¿Qué componente de la bilis permite la emulsificación de grasas?,Sales biliares,Ácidos grasos libres,Colesterol,Monoglicéridos
¿Cuál es el principal producto de la hidrólisis de triglicéridos por la lipasa lingual?,1 A.G. y 1 diglicérido,3 A.G.,2 monoglicéridos,Colesterol y fosfolípidos
¿Cuál es la función de los quilomicrones?,Transportar lípidos por la linfa,Degradar triglicéridos,Formar sales biliares,Almacenar colesterol
¿Cuál de las siguientes lipoproteínas transporta colesterol desde otros tejidos hacia el hígado?,HDL,LDL,IDL,VLDL
¿Qué ocurre en la emulsificación?,Se dispersan grasas en medio acuoso,Se forman enlaces peptídicos,Se activa la lipasa gástrica,Se produce ATP
¿Cuál es la hormona que estimula la secreción de bilis y enzimas pancreáticas?,Colecistoquinina,Gastrina,Insulina,Secretina
¿Qué parte de la célula reesterifica los ácidos grasos y monoglicéridos?,Retículo endoplasmático liso,Mitocondria,Aparato de Golgi,Núcleo
¿Dónde se almacenan las sales biliares antes de su liberación?,Vesícula biliar,Hígado,Páncreas,Estómago
¿Cuál es la principal enzima para la digestión de triglicéridos en el intestino delgado?,Lipasa pancreática,Lipasa lingual,Amilasa pancreática,Pepsina
¿Qué tipo de transporte utilizan los lípidos para atravesar la membrana intestinal?,Difusión simple,Difusión facilitada,Endocitosis,Transporte activo
