Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
¿Qué estructura delimita proximalmente la región escapular?,Borde dorsal de la escápula,Cabeza del húmero,Cóndilos del fémur,Acetábulo del coxal
¿Cuál de los siguientes músculos pertenece a la región escapular?,M. supraespinoso,M. pronador redondo,M. bíceps femoral,M. tibial anterior
¿Qué región se encuentra entre la articulación escapulo-humeral y la articulación húmero-radio-ulnar?,Región del húmero,Región escapular,Región del radio y ulna,Región femoral
¿Qué músculos se encuentran en el plano anatómico del antebrazo?,M. flexor y extensor del carpo,M. trapecio y M. deltoides,M. bíceps femoral y M. sartorio,M. glúteo medio y M. obturador interno
¿Qué región está delimitada distalmente por las falanges?,Miembro torácico,Región del húmero,Región femoral,Región tibial
¿Cuál es la región articular más proximal del miembro pelviano?,Articulación coxo-femoral,Articulación femoro-tibio-patelar,Articulación tarsometatarsiana,Articulación interfalángica
¿Qué músculos se encuentran en la región del húmero?,M. deltoides y M. tríceps,M. glúteo medio y menor,M. pronador cuadrado y supinador,M. gastrocnemio y sóleo
¿Qué límite distal define la región del radio y ulna?,Procesos estiloides lateral y medial,Cóndilos del fémur,Epífisis proximal del húmero,Cabeza del fémur
¿Qué músculo se encuentra en el plano superficial del miembro torácico?,M. trapecio,M. sartorio,M. glúteo medio,M. pronador redondo
¿Qué músculos están implicados en los movimientos del carpo?,Flexores y extensores del carpo,M. deltoides y M. supraespinoso,M. tríceps y M. braquial,M. glúteo medio y menor
