Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
¿Qué punto óseo del tórax es visible o palpable a partir de la 5ª o 6ª costilla en perros?,Costillas,Manubrio del occipital,Apófisis espinosas lumbares,Crestas sacras
¿Cuál es el límite craneal del tórax?,Surco preescapular,Manubrio esternal,Cartílago xifoides,Línea ancónea
¿Qué músculo se encuentra en la región esternal del tórax?,M. pectoral superficial,M. glúteo medio,M. bíceps braquial,M. sartorio
¿Qué estructuras forman parte del mediastino ventral medio?,Corazón y pericardio,Tráquea y esófago,Aorta y vena cava caudal,Timo y vena yugular
¿Qué procedimiento se realiza en la región costolateral?,Auscultación pulmonar,Castración,Punción hepática,Cistocentesis
¿Qué se encuentra en el mediastino dorsal craneal derecho?,Nervio vago y vena ácigos,Corazón y pericardio,Esófago y vena cava caudal,Nervio frénico y timo
¿Qué músculos se encuentran en la región costal del tórax?,M. gran dorsal y M. serrato ventral,M. deltoides y M. braquial,M. recto abdominal y M. oblicuo interno,M. tensor de la fascia lata y M. glúteo superficial
¿Qué estructuras están presentes en el mediastino dorsal medio izquierdo?,"Aorta, esófago y nervio vago",Corazón y arteria subclavia,Vena yugular y timo,Ducto torácico y pericardio
¿Qué región del tórax contiene la articulación costocondral como límite ventral?,Región costo-subescapular,Región esternal,Región costolateral,Región preesternal
¿Qué estructuras se ubican en el mediastino ventral craneal izquierdo?,"Vena yugular, timo, arteria subclavia","Nervio frénico, vena ácigos y cadena ganglionar",Tronco braquiocefálico y esófago,Ducto torácico y arteria pulmonar
