Imagen,Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
arteria_axilar.png,¿Qué arteria corresponde a la letra a?,Arteria axilar,Arteria humeral,Arteria radial,Arteria braquial
arteria_axilar.png,¿Qué arteria corresponde a la letra b?,Arteria torácica externa,Arteria toracodorsal,Arteria subescapular,Arteria escapular
arteria_axilar.png,¿Qué arteria corresponde a la letra c?,Arteria circunfleja humeral craneal,Arteria circunfleja humeral caudal,Arteria subescapular,Arteria radial
arteria_axilar.png,¿Qué arteria corresponde a la letra d?,Arteria subescapular,Arteria torácica externa,Arteria braquial,Arteria toracodorsal
arteria_axilar.png,¿Qué arteria corresponde a la letra e?,Arteria circunfleja humeral caudal,Arteria subescapular,Arteria escapular,Arteria ilíaca externa
arteria_axilar.png,¿Qué arteria corresponde a la letra f?,Arteria toracodorsal,Arteria torácica interna,Arteria axilar,Arteria braquial profunda
arteria_axilar.png,¿Qué arteria corresponde a la letra g?,Arteria circunfleja de la escápula,Arteria torácica externa,Arteria radial,Arteria circunfleja ilíaca
arteria_braquial.png,¿Qué arteria corresponde a la letra a?,Arteria braquial,Arteria axilar,Arteria cubital colateral,Arteria interósea común
arteria_braquial.png,¿Qué arteria corresponde a la letra b?,Arteria braquial profunda,Arteria cubital transversa,Arteria torácica externa,Arteria radial
arteria_braquial.png,¿Qué arteria corresponde a la letra c? (Solo en perros),Arteria braquial superficial,Arteria bicipital,Arteria axilar,Arteria escapular
arteria_braquial.png,¿Qué arteria corresponde a la letra d?,Arteria bicipital,Arteria cubital colateral,Arteria circunfleja humeral,Arteria braquial profunda
arteria_braquial.png,¿Qué arteria corresponde a la letra e?,Arteria cubital colateral,Arteria braquial,Arteria toracodorsal,Arteria bicipital
arteria_braquial.png,¿Qué arteria corresponde a la letra f?,Arteria cubital transversa,Arteria braquial superficial,Arteria axilar,Arteria escapular
arteria_braquial.png,¿Qué arteria corresponde a la letra g?,Arteria interósea común,Arteria cubital colateral,Arteria radial superficial,Arteria torácica interna
nervios_toracicos_cervicales.png,¿Qué estructura es la letra a?,N. supraescapular,N. subescapular,N. radial,N. pectoral caudal
nervios_toracicos_cervicales.png,¿Qué estructura es la letra b?,N. subescapular,N. toracodorsal,N. mediano,N. pectoral craneal
nervios_toracicos_cervicales.png,¿Qué estructura es la letra c?,N. toracodorsal,N. musculocutáneo,N. gran torácico,N. cubital
nervios_toracicos_cervicales.png,¿Qué estructura es la letra d?,N. axilar,N. radial,N. torácico lateral,N. supraescapular
nervios_toracicos_cervicales.png,¿Qué estructura es la letra e?,N. radial,N. cubital,N. subescapular,N. pectoral caudal
nervios_toracicos_cervicales.png,¿Qué estructura es la letra f?,N. musculocutáneo,N. toracodorsal,N. gran torácico,N. pectoral craneal
nervios_toracicos_cervicales.png,¿Qué estructura es la letra g?,N. mediano,N. radial,N. axilar,N. subescapular
nervios_toracicos_cervicales.png,¿Qué estructura es la letra h?,N. cubital,N. pectoral caudal,N. torácico lateral,N. musculocutáneo
nervios_toracicos_cervicales.png,¿Qué estructura es la letra i?,N. torácico lateral,N. gran torácico,N. cubital,N. axilar
nervios_toracicos_cervicales.png,¿Qué estructura es la letra j?,N. pectoral craneal,N. pectoral caudal,N. mediano,N. musculocutáneo
nervios_toracicos_cervicales.png,¿Qué estructura es la letra k?,N. pectoral caudal,N. radial,N. toracodorsal,N. mediano
nervios_toracicos_cervicales.png,¿Qué estructura es la letra l?,N. gran torácico,N. torácico lateral,N. musculocutáneo,N. pectoral caudal
nervios_toracicos_cervicales.png,¿Qué estructura es la letra m? (ausente en perros),Asa axilar,N. mediano,N. cubital,N. supraescapular
nervios_toracicos_cervicales.png,¿Qué estructura es la letra n?,A. axilar (rama),N. pectoral craneal,N. interósea común,N. torácico lateral
nervios_region_humero.png,¿Qué estructura es la letra a?,N. radial,N. mediano,N. musculocutáneo proximal,N. cutáneo antebraquial caudal
nervios_region_humero.png,¿Qué estructura es la letra b?,N. cubital,N. radial,N. mediano,Rama distal del n. musculocutáneo
nervios_region_humero.png,¿Qué estructura es la letra c?,N. cutáneo antebraquial caudal,N. radial,N. cubital,N. torácico lateral
nervios_region_humero.png,¿Qué estructura es la letra d?,N. mediano,N. radial,N. pectoral craneal,N. axilar
nervios_region_humero.png,¿Qué estructura es la letra e?,Rama proximal del n. musculocutáneo,Rama distal del n. musculocutáneo,N. cubital,N. mediano
nervios_region_humero.png,¿Qué estructura es la letra f?,Rama distal del n. musculocutáneo,Rama proximal del n. musculocutáneo,N. torácico lateral,N. cutáneo antebraquial caudal
partes_humero_radio_ulnar.png,¿Qué estructura es la letra a?,M. coracobraquial,M. braquial,Húmero,M. pronador redondo
